date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2022-12-31,AMZN,USD,0001018724,2023-02-03,2023-02-02 18:27:34,2022,FY,53888000000,16138000000,70026000000,42360000000,34405000000,0,146791000000,252838000000,20288000000,0,20288000000,0,0,42758000000,315884000000,0,462675000000,79600000000,0,0,13227000000,62566000000,155393000000,140118000000,0,0,21121000000,161239000000,0,72968000000,316632000000,0,108000000,83193000000,-4487000000,67229000000,146043000000,146043000000,462675000000,0,462675000000,16138000000,140118000000,86230000000
2021-12-31,AMZN,USD,0001018724,2022-02-04,2022-02-03 18:46:51,2021,FY,36220000000,59829000000,96049000000,32891000000,32640000000,0,161580000000,216363000000,15371000000,5107000000,15371000000,0,0,27235000000,258969000000,0,420549000000,78664000000,0,0,11827000000,51775000000,142266000000,116395000000,0,0,23643000000,140038000000,0,67651000000,282304000000,0,5000000,85915000000,-1376000000,53701000000,138245000000,138245000000,420549000000,0,420549000000,59829000000,116395000000,80175000000
2020-12-31,AMZN,USD,0001018724,2021-02-03,2021-02-02 19:44:10,2020,FY,42122000000,42274000000,84396000000,24542000000,23795000000,0,132733000000,150667000000,15017000000,4981000000,15017000000,0,0,22778000000,188462000000,0,321195000000,72539000000,0,0,9708000000,44138000000,126385000000,84389000000,0,0,17017000000,101406000000,0,52573000000,227791000000,0,5000000,52551000000,-180000000,41028000000,93404000000,93404000000,321195000000,0,321195000000,42274000000,84389000000,42267000000
2019-12-31,AMZN,USD,0001018724,2020-01-31,2020-01-30 20:46:13,2019,FY,36092000000,18929000000,55021000000,20816000000,20497000000,0,96334000000,97846000000,14754000000,4049000000,14754000000,0,0,16314000000,128914000000,0,225248000000,47183000000,0,0,8190000000,32439000000,87812000000,63205000000,0,0,12171000000,75376000000,0,39791000000,163188000000,0,5000000,31220000000,-986000000,31821000000,62060000000,62060000000,225248000000,0,225248000000,18929000000,63205000000,27113000000
2018-12-31,AMZN,USD,0001018724,2019-02-01,2019-01-31 20:22:40,2018,FY,31750000000,9500000000,41250000000,16677000000,17174000000,0,75101000000,61797000000,14548000000,4110000000,18658000000,0,0,7092000000,87547000000,0,162648000000,38192000000,0,0,6536000000,23663000000,68391000000,23495000000,-2386000000,2386000000,27213000000,50708000000,0,16292000000,119099000000,0,5000000,19625000000,-1035000000,24954000000,43549000000,43549000000,162648000000,0,162648000000,9500000000,39787000000,8037000000
