date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil
2022-12-31,AMZN,USD,0001018724,2023-02-03,2023-02-02 18:27:34,2022,FY,513983000000,446343000000,67640000000,0.1315996833,73213000000,11891000000,42238000000,54129000000,-16806000000,55392000000,501735000000,989000000,2367000000,41921000000,38352000000,0.0746172539,12248000000,0.0238295819,-16806000000,-5936000000,-0.0115490201,-3217000000,-2722000000,-0.005295895,-0.27,-0.27,10189000000,10189000000
2021-12-31,AMZN,USD,0001018724,2022-02-04,2022-02-03 18:46:51,2021,FY,469822000000,403507000000,66315000000,0.1411492012,56052000000,8823000000,32551000000,41374000000,14633000000,41436000000,444943000000,448000000,1809000000,34296000000,74256000000,0.1580513471,24879000000,0.0529540975,14633000000,38151000000,0.0812030939,4791000000,33364000000,0.0710141288,3.3,3.24,10120000000,10300000000
2020-12-31,AMZN,USD,0001018724,2021-02-03,2021-02-02 19:44:10,2020,FY,386064000000,334564000000,51500000000,0.1333975714,42740000000,6668000000,22008000000,28676000000,2371000000,28601000000,363165000000,555000000,1647000000,25251000000,51076000000,0.1322993079,22899000000,0.0593139998,2371000000,24178000000,0.062626922,2863000000,21331000000,0.055252497,2.13,2.09,10000000000,10200000000
2019-12-31,AMZN,USD,0001018724,2020-01-31,2020-01-30 20:46:13,2019,FY,280522000000,241699000000,38823000000,0.1383955626,35931000000,5203000000,18878000000,24081000000,203000000,24282000000,265981000000,832000000,1600000000,21789000000,37365000000,0.1331981092,14541000000,0.0518355067,203000000,13976000000,0.0498214044,2374000000,11588000000,0.0413087031,1.17,1.15,9880000000,10080000000
2018-12-31,AMZN,USD,0001018724,2019-02-01,2019-01-31 20:22:40,2018,FY,232887000000,202020000000,30867000000,0.1325406742,28837000000,4336000000,13814000000,18150000000,-183000000,18446000000,220466000000,440000000,1417000000,15341000000,28019000000,0.1203115674,12421000000,0.0533348791,-183000000,11261000000,0.0483539227,1197000000,10073000000,0.0432527363,1.03,1.01,9740000000,10000000000
