date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2023-03-31,AMZN,USD,0001018724,2023-04-27,2023-04-27 16:10:37,2023,FY,4294000000,43851000000,-6619000000,21119000000,-17406000000,-18860000000,393000000,1061000000,17406000000,9091000000,54330000000,-62901000000,-5488000000,-1139000000,9963000000,5252000000,-54313000000,-6770000000,0,-3334000000,0,24186000000,14082000000,-964000000,13135000000,49734000000,36599000000,54330000000,-62901000000,-8571000000
2022-12-31,AMZN,USD,0001018724,2023-02-03,2023-02-02 18:27:34,2022,FY,-2722000000,41921000000,-8148000000,19621000000,-20886000000,-21897000000,-2592000000,2945000000,658000000,16966000000,46752000000,-63645000000,-8316000000,-2565000000,31601000000,5324000000,-37601000000,-47001000000,0,-6000000000,0,62719000000,9718000000,-1093000000,17776000000,54253000000,36477000000,46752000000,-63645000000,-16893000000
2021-12-31,AMZN,USD,0001018724,2022-02-04,2022-02-03 18:46:51,2021,FY,33364000000,34296000000,-310000000,12757000000,-19611000000,-18163000000,-9487000000,3602000000,4437000000,-14169000000,46327000000,-61053000000,-1985000000,-60157000000,59384000000,5657000000,-58154000000,-20668000000,0,0,0,26959000000,6291000000,-364000000,-5900000000,36477000000,42377000000,46327000000,-61053000000,-14726000000
2020-12-31,AMZN,USD,0001018724,2021-02-03,2021-02-02 19:44:10,2020,FY,21331000000,25251000000,-554000000,9208000000,13481000000,-8169000000,-2849000000,17480000000,7019000000,-2653000000,66064000000,-40140000000,-2325000000,-72479000000,50237000000,5096000000,-59611000000,-18425000000,0,0,0,17321000000,-1104000000,618000000,5967000000,42377000000,36410000000,66064000000,-40140000000,25924000000
2019-12-31,AMZN,USD,0001018724,2020-01-31,2020-01-30 20:46:13,2019,FY,11588000000,21789000000,796000000,6864000000,-2438000000,-7681000000,-3278000000,8193000000,328000000,-85000000,38514000000,-16861000000,-2461000000,-31812000000,22681000000,4172000000,-24281000000,-12339000000,0,0,0,2273000000,-10066000000,70000000,4237000000,36410000000,32173000000,38514000000,-16861000000,21653000000
