date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2022-12-31,AMC,USD,0001411579,2023-02-28,2023-02-28 16:58:52,2022,FY,631500000,0,631500000,167600000,36400000,14900000,902100000,5522100000,2342000000,147300000,2489300000,93400000,0,128700000,8233500000,0,9135600000,330500000,592800000,82500000,402700000,364300000,1690300000,58800000,0,32100000,9978900000,10069800000,0,58800000,11760100000,100000,5200000,-7597600000,-77300000,5045100000,-2624500000,-2624500000,9135600000,0,9135600000,93400000,651600000,20100000
2021-12-31,AMC,USD,0001411579,2022-03-01,2022-03-01 16:36:40,2021,FY,1592500000,0,1592500000,170400000,31300000,12900000,1870300000,6118400000,2429800000,153400000,2583200000,97000000,600000,152000000,8951200000,0,10821500000,377100000,634700000,110500000,408600000,367500000,1787900000,10116700000,46500000,31300000,628600000,10823100000,0,5323400000,12611000000,0,5100000,-6624000000,-28100000,4857500000,-1789500000,-1789500000,10821500000,0,10821500000,97000000,10751400000,9158900000
2020-12-31,AMC,USD,0001411579,2021-03-12,2021-03-12 09:23:15,2020,FY,308300000,0,308300000,99000000,21300000,11500000,487000000,6774000000,2547300000,163200000,2710500000,97500000,300000,207100000,9789400000,0,10276400000,298800000,616500000,86600000,405400000,257800000,1578500000,96000000,10735200000,40500000,684400000,11556100000,26900000,96000000,13161500000,0,2300000,-5335300000,38700000,2409200000,-2885100000,-2885100000,10276400000,26900000,10276400000,97500000,96000000,-212300000
2019-12-31,AMC,USD,0001411579,2020-02-28,2020-02-27 18:34:48,2019,FY,265000000,0,265000000,265900000,37500000,30800000,673100000,7445200000,4789100000,195300000,4984400000,267100000,70100000,235900000,13002700000,0,13675800000,543300000,616100000,75200000,449200000,324600000,1933200000,99900000,9696800000,46000000,685700000,10528400000,0,99900000,12461600000,0,1000000,-706200000,-26100000,1945500000,1214200000,1214200000,13675800000,0,13675800000,267100000,99900000,-165100000
2018-12-31,AMC,USD,0001411579,2019-03-01,2019-03-01 07:31:46,2018,FY,313300000,0,313300000,284200000,35200000,38100000,781300000,3039600000,4788700000,352100000,5140800000,319000000,28600000,186500000,8714500000,0,9495800000,452600000,82200000,73400000,414800000,378500000,1328100000,5377600000,102400000,41600000,1248100000,6769700000,0,669800000,8097800000,0,1400000,-550900000,5500000,1942000000,1398000000,1398000000,9495800000,0,9495800000,319000000,5459800000,5146500000
