date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2022-12-31,AMC,USD,0001411579,2023-02-28,2023-02-28 16:58:52,2022,FY,-973600000,396000000,1700000,22500000,-73300000,4000000,0,-40400000,-36900000,-1800000,-628500000,-219800000,-27900000,0,13000000,10700000,-224000000,-1449400000,0,0,-700000,1358800000,-91300000,-22100000,-965900000,654400000,1620300000,-628500000,-219800000,-848300000
2021-12-31,AMC,USD,0001411579,2022-03-01,2022-03-01 16:36:40,2021,FY,-1269800000,425000000,-7600000,43100000,139600000,-82700000,82700000,63800000,75800000,55600000,-614100000,-100600000,24900000,0,0,7500000,-68200000,-65000000,1801100000,0,0,254600000,1990700000,-9500000,1298900000,1620300000,321400000,-614100000,-100600000,-714700000
2020-12-31,AMC,USD,0001411579,2021-03-12,2021-03-12 09:23:15,2020,FY,-4589400000,498300000,64000000,25400000,162200000,159300000,-159300000,-176400000,338600000,2710000000,-1129500000,-173800000,-9300000,0,0,28500000,-154600000,-26200000,264700000,1081800000,-6500000,16500000,1330300000,-300000,45900000,321400000,275500000,-1129500000,-173800000,-1303300000
2019-12-31,AMC,USD,0001411579,2020-02-28,2020-02-27 18:34:48,2019,FY,-149100000,450000000,-33700000,4400000,135800000,700000,-700000,104800000,31000000,171600000,579000000,-518100000,-9700000,0,0,11700000,-516100000,-1977700000,0,0,-84100000,1948900000,-112900000,1500000,-48500000,275500000,324000000,579000000,-518100000,60900000
2018-12-31,AMC,USD,0001411579,2019-03-01,2019-03-01 07:31:46,2018,FY,110100000,537800000,-6400000,14900000,-17700000,-200000,200000,-85600000,67900000,-115500000,523200000,-576300000,196900000,0,0,62200000,-317200000,-86200000,612100000,-445400000,-258100000,-17200000,-194800000,-5500000,5700000,324000000,318300000,523200000,-576300000,-53100000
