date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil
2022-12-31,AMC,USD,0001411579,2023-02-28,2023-02-28 16:58:52,2022,FY,3911400000,1280300000,2631100000,0.6726747456,0,1093800000,0,1093800000,1924400000,3018200000,4298500000,0,378700000,340800000,-46300000,-0.0118371938,-387100000,-0.0989671217,-584000000,-971100000,-0.2482742752,2500000,-973600000,-0.2489134325,-0.93,-0.93,1046881720,1047689000
2021-12-31,AMC,USD,0001411579,2022-03-01,2022-03-01 16:36:40,2021,FY,2527900000,745600000,1782300000,0.7050516239,0,1054600000,0,1054600000,1566800000,2621400000,3367000000,0,458100000,523900000,-315200000,-0.1246884766,-839100000,-0.3319355987,-440900000,-1280000000,-0.5063491436,-10200000,-1269800000,-0.5023141738,-1.33,-1.33,954820000,954820000
2020-12-31,AMC,USD,0001411579,2021-03-12,2021-03-12 09:23:15,2020,FY,1242400000,411500000,830900000,0.6687862202,0,1040800000,0,1040800000,1354300000,2395100000,2806600000,0,356900000,438500000,-1125700000,-0.9060688989,-1564200000,-1.25901481,-2965300000,-4529500000,-3.6457662589,59900000,-4589400000,-3.6939793947,-19.58,-19.58,234424000,234424000
2019-12-31,AMC,USD,0001411579,2020-02-28,2020-02-27 18:34:48,2019,FY,5471000000,1977800000,3493200000,0.6384938768,0,1120800000,0,1120800000,2136600000,3257400000,5235200000,0,340800000,450000000,703000000,0.1284957046,253000000,0.0462438311,-424600000,-171600000,-0.0313653811,-22500000,-149100000,-0.0272527874,-1.44,-1.44,103849861,103849861
2018-12-31,AMC,USD,0001411579,2019-03-01,2019-03-01 07:31:46,2018,FY,5460800000,1981100000,3479700000,0.6372143276,0,977100000,0,977100000,108100000,3169600000,5150700000,0,342300000,537800000,1042700000,0.190942719,265000000,0.0485276883,155900000,123700000,0.0226523586,13600000,110100000,0.020161881,1.06,1.06,103475253,103475253
