date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,FY,23646000000,24658000000,48304000000,60932000000,4946000000,21223000000,135405000000,42117000000,0,0,0,120805000000,0,54428000000,217350000000,0,352755000000,64115000000,21110000000,0,7912000000,60845000000,153982000000,98959000000,0,0,49142000000,148101000000,0,0,302083000000,0,64849000000,-3068000000,-11109000000,0,50672000000,50672000000,352755000000,0,352755000000,145463000000,120069000000,96423000000
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,FY,34940000000,27699000000,62639000000,51506000000,6580000000,14111000000,134836000000,39440000000,0,0,0,127877000000,0,48849000000,216166000000,0,351002000000,54763000000,15613000000,0,7612000000,47493000000,125481000000,109106000000,0,0,53325000000,162431000000,0,0,287912000000,0,57365000000,5562000000,163000000,0,63090000000,63090000000,351002000000,0,351002000000,155576000000,124719000000,89779000000
2020-09-26,AAPL,USD,0000320193,2020-10-30,2020-10-29 18:06:25,2020,FY,38016000000,52927000000,90943000000,37445000000,4061000000,11264000000,143713000000,36766000000,0,0,0,100887000000,0,42522000000,180175000000,0,323888000000,42296000000,13769000000,0,6643000000,42684000000,105392000000,98667000000,0,0,54490000000,153157000000,0,0,258549000000,0,50779000000,14966000000,-406000000,0,65339000000,65339000000,323888000000,0,323888000000,153814000000,112436000000,74420000000
2019-09-28,AAPL,USD,0000320193,2019-10-31,2019-10-30 18:12:36,2019,FY,48844000000,51713000000,100557000000,45804000000,4106000000,12352000000,162819000000,37378000000,0,0,0,105341000000,0,32978000000,175697000000,0,338516000000,46236000000,16240000000,0,5522000000,37720000000,105718000000,91807000000,0,0,50503000000,142310000000,0,0,248028000000,0,45174000000,45898000000,-584000000,0,90488000000,90488000000,338516000000,0,338516000000,157054000000,108047000000,59203000000
2018-09-29,AAPL,USD,0000320193,2018-11-05,2018-11-05 08:01:40,2018,FY,25913000000,40388000000,66301000000,48995000000,3956000000,12087000000,131339000000,41304000000,0,0,0,170799000000,0,22283000000,234386000000,0,365725000000,55888000000,20748000000,0,7543000000,32687000000,116866000000,93735000000,2797000000,426000000,44754000000,141712000000,0,0,258578000000,0,40201000000,70400000000,-3454000000,0,107147000000,107147000000,365725000000,0,365725000000,211187000000,114483000000,88570000000
