date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,FY,99803000000,11104000000,895000000,9038000000,1200000000,-1823000000,1484000000,9448000000,-7909000000,111000000,122151000000,-10708000000,-306000000,-76923000000,67363000000,-1780000000,-22354000000,-9543000000,0,-89402000000,-14841000000,3037000000,-110749000000,0,-10952000000,24977000000,35929000000,122151000000,-10708000000,111443000000
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,FY,94680000000,11284000000,-4774000000,7906000000,-4911000000,-10125000000,-2642000000,12326000000,-4470000000,-147000000,104038000000,-11085000000,-33000000,-109558000000,106483000000,-352000000,-14545000000,-8750000000,1105000000,-85971000000,-14467000000,14730000000,-93353000000,0,-3860000000,35929000000,39789000000,104038000000,-11085000000,92953000000
2020-09-26,AAPL,USD,0000320193,2020-10-30,2020-10-29 18:06:25,2020,FY,57411000000,11056000000,-215000000,6829000000,5690000000,6917000000,-127000000,-4062000000,2962000000,-97000000,80674000000,-7309000000,-1524000000,-115148000000,120483000000,-791000000,-4289000000,-13592000000,880000000,-72358000000,-14081000000,12331000000,-86820000000,0,-10435000000,39789000000,50224000000,80674000000,-7309000000,73365000000
2019-09-28,AAPL,USD,0000320193,2019-10-31,2019-10-30 18:12:36,2019,FY,55256000000,12547000000,-340000000,6068000000,-3488000000,245000000,-289000000,-1923000000,-1521000000,-652000000,69391000000,-10495000000,-624000000,-40631000000,98724000000,-1078000000,45896000000,-8805000000,781000000,-66897000000,-14119000000,-1936000000,-90976000000,0,24311000000,50224000000,25913000000,69391000000,-10495000000,58896000000
2018-09-29,AAPL,USD,0000320193,2018-11-05,2018-11-05 08:01:40,2018,FY,59531000000,10903000000,-32590000000,5340000000,34694000000,-5322000000,828000000,9175000000,30013000000,-444000000,77434000000,-13313000000,-721000000,-73227000000,104072000000,-745000000,16066000000,-6500000000,669000000,-72738000000,-13712000000,4405000000,-87876000000,0,5624000000,25913000000,20289000000,77434000000,-13313000000,64121000000
