date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2022-12-31,META,USD,0001326801,2023-02-02,2023-02-01 20:26:31,2022,FY,14681000000,26057000000,40738000000,13466000000,0,5345000000,59549000000,92191000000,20306000000,897000000,21203000000,6201000000,0,6583000000,126178000000,0,185727000000,4990000000,1367000000,2339000000,0,20669000000,27026000000,25224000000,0,0,7764000000,32988000000,0,16668000000,60014000000,0,64444000000,64799000000,-3530000000,0,125713000000,125713000000,185727000000,0,185727000000,32258000000,26591000000,11910000000
2021-12-31,META,USD,0001326801,2022-02-03,2022-02-02 21:11:04,2021,FY,16601000000,31397000000,47998000000,14039000000,0,4629000000,66666000000,69964000000,19197000000,634000000,19831000000,6775000000,0,2751000000,99321000000,0,165987000000,4083000000,1127000000,1256000000,561000000,15364000000,21135000000,12746000000,0,0,7227000000,19973000000,0,13873000000,41108000000,0,55811000000,69761000000,-693000000,0,124879000000,124879000000,165987000000,0,165987000000,38172000000,13873000000,-2728000000
2020-12-31,META,USD,0001326801,2021-01-28,2021-01-27 21:13:48,2020,FY,17576000000,44378000000,61954000000,11335000000,0,2381000000,75670000000,54981000000,19050000000,623000000,19673000000,6234000000,0,2758000000,83646000000,0,159316000000,1331000000,1023000000,2038000000,382000000,12245000000,14981000000,9631000000,0,0,6414000000,16045000000,0,10654000000,31026000000,0,50018000000,77345000000,927000000,0,128290000000,128290000000,159316000000,0,159316000000,50612000000,10654000000,-6922000000
2019-12-31,META,USD,0001326801,2020-01-30,2020-01-29 21:12:14,2019,FY,19079000000,35776000000,54855000000,9518000000,0,1852000000,66225000000,44783000000,18715000000,894000000,19609000000,0,0,2759000000,67151000000,0,133376000000,1363000000,800000000,624000000,269000000,12621000000,15053000000,9524000000,-1039000000,1039000000,7745000000,17269000000,0,10324000000,32322000000,0,45851000000,55692000000,-489000000,0,101054000000,101054000000,133376000000,0,133376000000,35776000000,10324000000,-8755000000
2018-12-31,META,USD,0001326801,2019-01-31,2019-01-31 16:58:29,2018,FY,10019000000,31095000000,41114000000,7587000000,0,1779000000,50480000000,24683000000,18301000000,1294000000,19595000000,0,0,2576000000,46854000000,0,97334000000,820000000,500000000,491000000,147000000,5550000000,7017000000,0,0,673000000,5517000000,6190000000,0,0,13207000000,0,42906000000,41981000000,-760000000,0,84127000000,84127000000,97334000000,0,97334000000,31095000000,500000000,-9519000000
