date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2022-12-31,META,USD,0001326801,2023-02-02,2023-02-01 20:26:31,2022,FY,23200000000,8686000000,-3286000000,11992000000,5683000000,231000000,0,210000000,5242000000,4200000000,50475000000,-31431000000,-1312000000,-9631000000,13158000000,246000000,-28970000000,-850000000,0,-27956000000,0,6670000000,-22136000000,-638000000,-1269000000,15596000000,16865000000,50475000000,-31431000000,19044000000
2021-12-31,META,USD,0001326801,2022-02-03,2022-02-02 21:11:04,2021,FY,39370000000,7967000000,609000000,9164000000,700000000,-3110000000,2187000000,1436000000,187000000,-127000000,57683000000,-18567000000,-898000000,-30407000000,42586000000,-284000000,-7570000000,-677000000,0,-44537000000,0,-5514000000,-50728000000,-474000000,-1089000000,16865000000,17954000000,57683000000,-18567000000,39116000000
2020-12-31,META,USD,0001326801,2021-01-28,2021-01-27 21:13:48,2020,FY,29146000000,6862000000,-1192000000,6536000000,-2723000000,-1512000000,-1302000000,-17000000,108000000,118000000,38747000000,-15115000000,-6749000000,-33930000000,25771000000,-36000000,-30059000000,-604000000,0,-6272000000,0,-3416000000,-10292000000,279000000,-1325000000,17954000000,19279000000,38747000000,-15115000000,23632000000
2019-12-31,META,USD,0001326801,2020-01-30,2020-01-29 21:12:14,2019,FY,18485000000,5741000000,-37000000,4836000000,7250000000,-1961000000,8975000000,113000000,123000000,39000000,36314000000,-15102000000,-508000000,-23910000000,19717000000,-61000000,-19864000000,-552000000,0,-4202000000,0,-2545000000,-7299000000,4000000,9155000000,19279000000,10124000000,36314000000,-15102000000,21212000000
2018-12-31,META,USD,0001326801,2019-01-31,2019-01-31 16:58:29,2018,FY,22112000000,4315000000,286000000,4152000000,-1527000000,-1892000000,91000000,221000000,53000000,-64000000,29274000000,-13915000000,-137000000,-14656000000,17130000000,-25000000,-11603000000,0,0,-12879000000,0,-2693000000,-15572000000,-179000000,1920000000,10124000000,8204000000,29274000000,-13915000000,15359000000
