date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil
2022-12-31,META,USD,0001326801,2023-02-02,2023-02-01 20:26:31,2022,FY,116609000000,25249000000,91360000000,0.7834729738,35338000000,11816000000,15262000000,27078000000,-320000000,62416000000,87665000000,276000000,-125000000,8686000000,37630000000,0.3227023643,28944000000,0.2482141173,-125000000,28819000000,0.2471421588,5619000000,23200000000,0.1989554837,8.63,8.59,2687000000,2702000000
2021-12-31,META,USD,0001326801,2022-02-03,2022-02-02 21:11:04,2021,FY,117929000000,22649000000,95280000000,0.8079437628,24655000000,9829000000,14043000000,23872000000,210000000,48527000000,71176000000,531000000,0,7967000000,54720000000,0.4640080048,46753000000,0.3964504066,531000000,47284000000,0.4009531159,7914000000,39370000000,0.3338449406,13.99,13.77,2815000000,2859000000
2020-12-31,META,USD,0001326801,2021-01-28,2021-01-27 21:13:48,2020,FY,85965000000,16692000000,69273000000,0.8058279532,18447000000,6564000000,11591000000,18155000000,-34000000,36602000000,53294000000,509000000,0,6862000000,39533000000,0.4598732042,32671000000,0.3800500204,509000000,33180000000,0.3859710347,4034000000,29146000000,0.3390449602,10.22,10.09,2851000000,2888000000
2019-12-31,META,USD,0001326801,2020-01-30,2020-01-29 21:12:14,2019,FY,70697000000,12770000000,57927000000,0.8193699874,13600000000,10465000000,9876000000,20341000000,27000000,33941000000,46711000000,924000000,20000000,5741000000,29727000000,0.4204846033,23986000000,0.3392788944,826000000,24812000000,0.3509625585,6327000000,18485000000,0.2614679548,6.48,6.43,2854000022,2876000023
2018-12-31,META,USD,0001326801,2019-01-31,2019-01-31 16:58:29,2018,FY,55838000000,9355000000,46483000000,0.8324617644,10273000000,3451000000,7846000000,11297000000,9000000,21570000000,30925000000,661000000,9000000,4315000000,29228000000,0.5234428167,24913000000,0.4461656936,-204000000,25361000000,0.4541889036,3249000000,22112000000,0.3960027222,7.65,7.57,2890000023,2921000023
