date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil
2023-01-29,NVDA,USD,0001045810,2023-02-24,2023-02-24 17:23:43,2023,FY,26974000000,11618000000,15356000000,0.5692889449,7339000000,0,0,2440000000,-48000000,9779000000,21397000000,267000000,262000000,1544000000,7340000000,0.2721138874,5796000000,0.214873582,-1615000000,4181000000,0.1550011122,-187000000,4368000000,0.1619337139,1.76,1.74,2487000000,2507000000
2022-01-30,NVDA,USD,0001045810,2022-03-18,2022-03-17 20:33:34,2022,FY,26914000000,9439000000,17475000000,0.6492903322,5268000000,0,0,2166000000,107000000,7434000000,16873000000,29000000,236000000,1310000000,11351000000,0.4217507617,10041000000,0.3730772089,-100000000,9941000000,0.3693616705,189000000,9752000000,0.362339303,3.91,3.85,2496000000,2535000000
2021-01-31,NVDA,USD,0001045810,2021-02-26,2021-02-26 17:03:14,2021,FY,16675000000,6279000000,10396000000,0.6234482759,3924000000,0,0,1940000000,4000000,5864000000,12143000000,57000000,184000000,1159000000,5691000000,0.3412893553,4532000000,0.2717841079,-123000000,4409000000,0.2644077961,77000000,4332000000,0.2597901049,1.76,1.73,2468000000,2512000000
2020-01-26,NVDA,USD,0001045810,2020-02-20,2020-02-20 16:38:18,2020,FY,10918000000,4150000000,6768000000,0.6198937534,2829000000,0,0,1093000000,-2000000,3922000000,8072000000,178000000,52000000,557000000,3403000000,0.3116871222,2846000000,0.2606704525,124000000,2970000000,0.2720278439,174000000,2796000000,0.2560908591,1.15,1.13,2436000000,2472000000
2019-01-27,NVDA,USD,0001045810,2019-02-21,2019-02-21 16:37:18,2019,FY,11716000000,4545000000,7171000000,0.6120689655,2376000000,0,0,991000000,14000000,3367000000,7912000000,136000000,58000000,262000000,3954000000,0.337487197,3804000000,0.3246841926,14000000,3896000000,0.3325367019,-245000000,4141000000,0.3534482759,1.7,1.66,2432000000,2500000000
