date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2023-01-29,NVDA,USD,0001045810,2023-02-24,2023-02-24 17:23:43,2023,FY,3389000000,9907000000,13296000000,3827000000,5159000000,791000000,23073000000,4845000000,4372000000,1676000000,6048000000,299000000,3396000000,3521000000,18109000000,0,41182000000,1193000000,1250000000,467000000,354000000,3766000000,6563000000,10605000000,218000000,247000000,1448000000,12518000000,0,902000000,19081000000,0,2000000,10171000000,-43000000,11971000000,22101000000,22101000000,41182000000,0,41182000000,10206000000,11855000000,8466000000
2022-01-30,NVDA,USD,0001045810,2022-03-18,2022-03-17 20:33:34,2022,FY,1990000000,19218000000,21208000000,4650000000,2605000000,366000000,28829000000,3607000000,4349000000,2339000000,6688000000,266000000,1222000000,3575000000,15358000000,0,44187000000,1783000000,0,0,300000000,2252000000,4335000000,11687000000,202000000,245000000,1106000000,13240000000,0,741000000,17575000000,0,3000000,16235000000,-11000000,10385000000,26612000000,26612000000,44187000000,0,44187000000,19484000000,11687000000,9697000000
2021-01-31,NVDA,USD,0001045810,2021-02-26,2021-02-26 17:03:14,2021,FY,847000000,10714000000,11561000000,2429000000,1826000000,239000000,16055000000,2856000000,4193000000,2737000000,6930000000,144000000,806000000,2000000000,12736000000,0,28791000000,1201000000,999000000,61000000,288000000,1437000000,3925000000,6598000000,163000000,241000000,971000000,7973000000,0,634000000,11898000000,0,1000000,18908000000,19000000,-2035000000,16893000000,16893000000,28791000000,0,28791000000,10858000000,7597000000,6750000000
2020-01-26,NVDA,USD,0001045810,2020-02-20,2020-02-20 16:38:18,2020,FY,10896000000,1000000,10897000000,1657000000,979000000,157000000,13690000000,2292000000,618000000,49000000,667000000,0,548000000,118000000,3625000000,0,17315000000,687000000,91000000,61000000,141000000,865000000,1784000000,2552000000,60000000,29000000,686000000,3327000000,0,561000000,5111000000,0,1000000,14971000000,1000000,-2769000000,12204000000,12204000000,17315000000,0,17315000000,1000000,2552000000,-8344000000
2019-01-27,NVDA,USD,0001045810,2019-02-21,2019-02-21 16:37:18,2019,FY,782000000,6640000000,7422000000,1424000000,1575000000,136000000,10557000000,1404000000,618000000,45000000,663000000,0,0,668000000,2735000000,0,13292000000,511000000,91000000,91000000,92000000,635000000,1329000000,1988000000,46000000,19000000,568000000,2621000000,0,0,3950000000,0,1000000,12565000000,-12000000,-3212000000,9342000000,9342000000,13292000000,0,13292000000,6640000000,1988000000,1206000000
