date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,22185000000,5932000000,22185000000,2952000000,12839000000,2941000000,40917000000,36635000000,194000000,593000000,593000000,0,0,4193000000,41421000000,0,82338000000,15255000000,1502000000,1235000000,2810000000,7142000000,26709000000,1597000000,2804000000,82000000,5248000000,9731000000,0,3703000000,36440000000,0,3000000,12885000000,-361000000,32177000000,44704000000,44704000000,82338000000,1194000000,82338000000,5932000000,3099000000,-19086000000
2021-12-31,TSLA,USD,0001318605,2022-02-07,2022-02-04 20:11:27,2021,FY,17576000000,131000000,17707000000,1913000000,5757000000,1723000000,27100000000,31176000000,200000000,1717000000,1717000000,0,0,2138000000,35031000000,0,62131000000,10025000000,1589000000,1122000000,2372000000,5719000000,19705000000,5245000000,2052000000,24000000,3522000000,10843000000,0,3531000000,30548000000,0,1000000,331000000,54000000,29803000000,30189000000,30189000000,62131000000,1394000000,62131000000,131000000,6834000000,-10742000000
2020-12-31,TSLA,USD,0001318605,2021-02-08,2021-02-08 07:27:23,2020,FY,19384000000,0,19384000000,1886000000,4101000000,1346000000,26717000000,23375000000,207000000,313000000,520000000,0,0,1536000000,25431000000,0,52148000000,6051000000,2132000000,777000000,2210000000,3855000000,14248000000,9607000000,1284000000,151000000,3179000000,14221000000,0,3008000000,28469000000,0,1000000,-5399000000,363000000,27260000000,22225000000,22225000000,52148000000,1454000000,52148000000,0,11739000000,-7645000000
2019-12-31,TSLA,USD,0001318605,2020-02-13,2020-02-13 07:12:18,2019,FY,6268000000,0,6268000000,1324000000,3552000000,959000000,12103000000,20199000000,198000000,339000000,537000000,0,0,1470000000,22206000000,0,34309000000,3771000000,1785000000,611000000,1889000000,3222000000,10667000000,11634000000,1207000000,0,2691000000,15532000000,0,2896000000,26199000000,0,0,-6083000000,-36000000,12737000000,6618000000,6618000000,34309000000,1492000000,34309000000,0,13419000000,7151000000
2018-12-31,TSLA,USD,0001318605,2019-02-19,2019-02-19 06:10:16,2018,FY,3685618000,0,3685618000,949022000,3113446000,558222000,8306308000,19691231000,68159000,282492000,350651000,0,0,1391424000,21433306000,0,29739614000,3404451000,2567699000,348663000,1422893000,2597093000,9992136000,9403672000,990873000,-4568402000,7607731000,13433874000,0,3194796000,23426010000,0,173000,-5317832000,-8218000,10249120000,4923243000,4923243000,29739614000,1390361000,29739614000,0,11971371000,8285753000
