date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,12587000000,3747000000,0,1560000000,-3908000000,-1124000000,-6465000000,6029000000,-2348000000,738000000,14724000000,-7172000000,0,-5835000000,22000000,1012000000,-11973000000,-3866000000,541000000,0,0,-202000000,-3527000000,-444000000,-1220000000,16924000000,18144000000,14724000000,-7172000000,7552000000
2021-12-31,TSLA,USD,0001318605,2022-02-07,2022-02-04 20:11:27,2021,FY,5644000000,2911000000,58000000,2121000000,518000000,-130000000,-1709000000,1378000000,979000000,245000000,11497000000,-8014000000,0,-132000000,0,278000000,-7868000000,-14615000000,0,0,0,9412000000,-5203000000,-183000000,-1757000000,18144000000,19901000000,11497000000,-8014000000,3483000000
2020-12-31,TSLA,USD,0001318605,2021-02-08,2021-02-08 07:27:23,2020,FY,862000000,2322000000,433000000,1734000000,184000000,-652000000,-422000000,930000000,328000000,408000000,5943000000,-3242000000,-13000000,0,0,123000000,-3132000000,-12201000000,12269000000,0,0,9905000000,9973000000,334000000,13118000000,19901000000,6783000000,5943000000,-3242000000,2701000000
2019-12-31,TSLA,USD,0001318605,2020-02-13,2020-02-13 07:12:18,2019,FY,-775000000,2154000000,0,898000000,-349000000,-367000000,-429000000,-296000000,743000000,477000000,2405000000,-1437000000,-45000000,0,0,46000000,-1436000000,-389000000,848000000,0,0,1070000000,1529000000,8000000,2506000000,6783000000,4277000000,2405000000,-1437000000,968000000
2018-12-31,TSLA,USD,0001318605,2019-02-19,2019-02-19 06:10:16,2018,FY,-1062582000,1901050000,0,749024000,57951000,-496732000,-1023264000,1722850000,-144903000,452359000,2097802000,-2319516000,-17912000,0,0,0,-2337428000,-6087029000,-14973000,0,0,6675757000,573755000,-22700000,311429000,4276388000,3964959000,2097802000,-2319516000,-221714000
