date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,81462000000,60609000000,20853000000,0.2559843854,3075000000,0,0,3946000000,-43000000,7021000000,67630000000,297000000,191000000,4177000000,17833000000,0.2189118853,13656000000,0.167636444,63000000,13719000000,0.1684098107,1132000000,12583000000,0.1544646584,4.02,3.62,3130000000,3475000000
2021-12-31,TSLA,USD,0001318605,2022-02-07,2022-02-04 20:11:27,2021,FY,53823000000,40217000000,13606000000,0.2527915575,2593000000,0,0,4517000000,135000000,7110000000,47327000000,56000000,371000000,2911000000,9598000000,0.1783252513,6687000000,0.1242405663,-344000000,6343000000,0.1178492466,699000000,5519000000,0.1025398064,1.87,1.63,2958000000,3387000000
2020-12-31,TSLA,USD,0001318605,2021-02-08,2021-02-08 07:27:23,2020,FY,31536000000,24906000000,6630000000,0.2102359209,1491000000,0,0,3145000000,-122000000,4636000000,29542000000,30000000,748000000,2230000000,4224000000,0.1339421613,1994000000,0.0632293252,-840000000,1154000000,0.0365930999,292000000,690000000,0.0218797565,0.25,0.21,2799000000,3249000000
2019-12-31,TSLA,USD,0001318605,2020-02-13,2020-02-13 07:12:18,2019,FY,24578000000,20509000000,4069000000,0.165554561,1343000000,0,0,2646000000,45000000,3989000000,24498000000,44000000,685000000,2154000000,2323000000,0.0945154203,169000000,0.006876068,-834000000,-665000000,-0.0270567174,110000000,-775000000,-0.0315322646,-0.29,-0.29,2661000000,2661000000
2018-12-31,TSLA,USD,0001318605,2019-02-19,2019-02-19 06:10:16,2018,FY,21461268000,17419247000,4042021000,0.1883402695,1460370000,0,0,2834491000,21866000,4294861000,21714108000,24533000,663071000,1901050000,1694609000,0.0789612711,-388073000,-0.0180824824,-113367000,-1004745000,-0.0468166653,57837000,-976091000,-0.0454815158,-0.38,-0.38,2559000000,2559000000
