date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2023-01-31,GTLB,USD,0001653482,2023-03-30,2023-03-30 16:42:40,2023,FY,-180696000,5593000,0,122567000,-44851000,-54169000,0,287000,9031000,19979000,-77408000,-6070000,-9620000,-821622000,231626000,0,-605686000,0,24515000,14378000,0,58589000,97482000,-3658000,-589270000,297902000,887172000,-77408000,-6070000,-83478000
2022-01-31,GTLB,USD,0001653482,2022-04-08,2022-04-08 16:49:23,2022,FY,-157560000,1208000,0,30009000,22575000,-38223000,0,1877000,58921000,53954000,-49814000,-3541000,-323000,-100031000,50000000,0,-53895000,0,654552000,-590000,0,47223000,701185000,6846000,604322000,887172000,282850000,-49814000,-3541000,-53355000
2021-01-31,GTLB,USD,0001653482,2021-01-31,2021-01-31 00:00:00,2021,FY,-192194000,222000,-24322000,111846000,11941000,-14745000,2321000,1474000,22891000,18927000,-73580000,-933000,0,0,0,91000,-842000,0,0,-820000,0,13765000,12945000,1000000,-60477000,282850000,343327000,-73580000,-933000,-74513000
2020-01-31,GTLB,USD,0001653482,2020-01-31,2020-01-31 00:00:00,2020,FY,-130741000,0,0,40872000,17364000,-13457000,-2611000,914000,32518000,12339000,-60166000,0,0,0,0,0,0,0,0,0,0,0,271265000,-226000,210873000,343327000,132454000,-60166000,0,-60166000
