date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2023-01-31,GTLB,USD,0001653482,2023-03-30,2023-03-30 16:42:40,2023,FY,295402000,641249000,936651000,130479000,49086000,1746000,1117962000,6795000,8145000,3901000,12046000,12682000,0,19715000,51238000,0,1169200000,5184000,716000,5357000,254382000,46014000,306296000,413000,28355000,849000,8562000,38179000,0,1129000,344475000,0,0,-725648000,-705000,1497373000,771020000,771020000,1169200000,53705000,1169200000,653931000,1129000,-294273000
2022-01-31,GTLB,USD,0001653482,2022-04-08,2022-04-08 16:49:23,2022,FY,884672000,50031000,934703000,77233000,39593000,314000,1051843000,3271000,8145000,6285000,14430000,0,0,21894000,39595000,0,1091438000,4984000,0,4363000,179224000,57391000,241599000,0,32568000,379000,17623000,50570000,0,0,292169000,1091438000,0,-553337000,7724000,229041000,774866000,774866000,1091438000,24403000,1091438000,50031000,0,-884672000
2021-01-31,GTLB,USD,0001653482,2021-01-31,2021-01-31 00:00:00,2021,FY,282850000,0,282850000,39672000,25492000,479000,348493000,0,0,0,797000,0,0,13276000,14073000,0,362566000,3111000,19302000,2113000,103543000,1225000,127181000,0,30625000,0,435982000,466607000,0,0,593788000,0,0,-398199000,-19915000,186892000,-231222000,-231222000,362566000,0,362566000,0,0,-282850000
2020-01-31,GTLB,USD,0001653482,2020-01-31,2020-01-31 00:00:00,2020,FY,343327000,0,343327000,25303000,14801000,1044000,384475000,0,0,0,0,0,0,7373000,7373000,0,391848000,1673000,14037000,1573000,61518000,559000,77787000,0,18743000,0,430065000,448808000,0,0,526595000,0,0,-206005000,4090000,67168000,-134747000,-134747000,391848000,0,391848000,0,0,-343327000
