date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil
2023-01-31,GTLB,USD,0001653482,2023-03-30,2023-03-30 16:42:40,2023,FY,424336000,51680000,372656000,0.8782097206,156143000,117932000,309992000,427924000,21585000,584067000,635747000,14496000,-41998000,5593000,-205818000,-0.4850354436,-211411000,-0.4982160363,33613000,-177798000,-0.4190028657,2898000,-180696000,-0.4258323593,-1.22,-1.22,148407000,148407000
2022-01-31,GTLB,USD,0001653482,2022-04-08,2022-04-08 16:49:23,2022,FY,252653000,29985000,222668000,0.8813194381,97217000,63654000,190754000,254408000,-30850000,351625000,381610000,736000,736000,1208000,-127749000,-0.5056302518,-128957000,-0.510411513,-30114000,-159071000,-0.6296026566,-1511000,-157560000,-0.623622122,-1.98,-1.98,79755000,79755000
2021-01-31,GTLB,USD,0001653482,2021-01-31,2021-01-31 00:00:00,2021,FY,152176000,18463000,133713000,0.8786733782,106643000,86868000,154086000,240954000,23452000,347597000,366060000,1070000,0,222000,-213662000,-1.4040453159,-213884000,-1.4055041531,24522000,-189362000,-1.2443617916,2832000,-192194000,-1.2629718221,-1.45,-1.45,132492000,132492000
2020-01-31,GTLB,USD,0001653482,2020-01-31,2020-01-31 00:00:00,2020,FY,81227000,9376000,71851000,0.8845704015,59364000,41629000,99225000,140854000,-4800000,200218000,209594000,3626000,0,0,-128367000,-1.5803488988,-128367000,-1.5803488988,-1174000,-129541000,-1.5948022209,1200000,-130741000,-1.6095756337,-0.99,-0.99,132492000,132492000
